0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:31 +0900] "GET /resources/css/seat.css HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:31 +0900] "GET /resources/css/header.css HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:31 +0900] "GET /resources/js/seat.js HTTP/1.1" 200 7249
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:31 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:33 +0900] "POST /moveSeat HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:33 +0900] "GET /resources/css/reset.css HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:33 +0900] "GET /resources/css/seat.css HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:33 +0900] "GET /resources/css/header.css HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:33 +0900] "GET /resources/js/seat.js HTTP/1.1" 200 7249
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:34 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:34 +0900] "POST /moveSeat HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:34 +0900] "GET /resources/js/seat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:38 +0900] "POST /moveSeat HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:38 +0900] "GET /resources/css/reset.css HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:38 +0900] "GET /resources/css/header.css HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:38 +0900] "GET /resources/css/seat.css HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:45 +0900] "GET /reserve HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:46 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:46 +0900] "GET /crawling HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:52 +0900] "POST /moveSeat HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [25/Feb/2021:19:09:52 +0900] "GET /resources/js/seat.js HTTP/1.1" 304 -
